t,ekf_position,ekf_yaw,odom_position,odom_yaw
432.639,0.030995320799831857,0.003505192582399441,5.533054454160001e-07,6.960274451925019e-08
432.639,0.03099722445457528,0.003505298659826596,2.4762627370621694e-06,1.7568017167450973e-07
432.73900000000003,0.030999935631049462,0.0035053430891881805,2.6693201880788913e-06,5.90946365582608e-08
432.73900000000003,0.031002647867294543,0.003505432116349814,5.407186381017436e-06,1.481217981917886e-07
432.839,0.03101685543389002,0.003182009798103561,1.9481934142744936e-06,1.279375792909585e-07
432.839,0.031017572879994862,0.003182094774178876,2.673872757829005e-06,2.1291365460569832e-07
432.939,0.031016934956720584,0.0031820597074155893,5.87787648778392e-07,1.1569373469904014e-08
432.939,0.03101528074733967,0.0031819930999692245,2.251298600069427e-06,7.817681983488631e-08
433.03900000000004,0.03130278411592016,0.0030915922824153795,2.1459712037905796e-06,6.019736148548237e-08
433.03900000000004,0.03130074251728022,0.0030915458320275183,4.199041495589296e-06,1.0664774934586585e-07
433.139,0.03129937237609877,0.00309150319766413,1.3169404056080762e-06,3.139619202475706e-08
433.139,0.031299094702222814,0.003091500202422745,1.594037086442324e-06,3.439143340998151e-08
433.23900000000003,0.03113489783749337,0.0034389021327910236,7.632157912955491e-07,6.481276689652141e-08
433.23900000000003,0.031136389092087994,0.0034389741866239897,2.266499247427939e-06,1.3686659986301432e-07
433.339,0.031138097205272205,0.0034390064424911853,1.7006774692658106e-06,4.6438643338512256e-08
433.339,0.03113954966305541,0.0034390773874010193,3.165320333682706e-06,1.1738355317318677e-07
433.439,0.031238612487502,0.0035231119354747916,8.263421852821496e-07,8.097378284016788e-08
433.439,0.031238616954450404,0.0035231431766714347,8.33351644560275e-07,1.1221497948328839e-07
433.53900000000004,0.03123785583744378,0.0035230914915353384,6.955763972800498e-07,2.7963923346520424e-08
433.53900000000004,0.03123663944050558,0.0035230451996995436,1.916313584100514e-06,7.42557591412961e-08
433.639,0.03110593624975191,0.003611039303611093,1.2909850539400318e-06,2.9206781220162502e-08
433.639,0.031104878238918596,0.0036110177502492987,2.351610289924029e-06,5.07601430145829e-08
433.73900000000003,0.031104359966021188,0.003610989924976653,5.160472286268555e-07,1.778071074228565e-08
433.73900000000003,0.031104473546025985,0.003611002344950356,4.017346200391812e-07,5.360737039594307e-09
433.839,0.031061513484327317,0.0034064447159701493,6.524504094611382e-07,4.146977566243661e-08
433.839,0.031062534801319663,0.003406504714891437,1.6798797806375976e-06,1.0146869695025763e-07
433.939,0.031063556050904433,0.0034065603318963076,1.0282764369493279e-06,6.141104285984897e-08
433.939,0.031064307334830694,0.0034066099306464303,1.7844903696286248e-06,1.1100979298246317e-07
434.03900000000004,0.031125216030148777,0.003585746573884636,3.274708948082022e-07,2.8460334210148582e-08
434.03900000000004,0.031125038776077005,0.0035857542001336527,1.5355919949981745e-07,3.60865832272908e-08
434.139,0.031124416387449633,0.0035857297528340457,5.637787021993963e-07,7.400460816969737e-09
434.139,0.03112362723652662,0.0035857102971869797,1.3551876161275968e-06,2.68561078836068e-08
434.23900000000003,0.03114923640781154,0.003680289003078574,7.610027103982019e-07,2.3427061400346173e-08
