run_id,config_key,validation_gate,waypoint_index,t,gt_x,gt_y,gt_yaw,ref_x,ref_y,ref_yaw,distance_error,yaw_error
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,0,444.23900000000003,0.5273257028531979,0.8894268574703146,1.209329390307826,0.55,0.95,1.3,0.06467788916641497,0.09067060969217411
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,1,450.439,1.490282541216278,0.5848472950317166,-0.5618439199848171,1.55,0.55,-0.6499999999999999,0.06914122398839243,0.08815608001518282
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,2,458.53900000000004,2.528757418007343,-0.28941655792038146,-1.483284891997671,2.55,-0.35,-1.57,0.06419969426663366,0.08671510800232896
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,3,466.139,2.2948113697117902,-1.505888779194855,-2.650398599913826,2.25,-1.55,-2.75,0.06287971577835744,0.0996014000861738
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,4,475.83900000000006,0.4202437312560835,-1.6202716450888621,-3.1311777830771765,0.35,-1.62,3.1,0.0702442565042238,0.05200752410240941
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,5,484.939,-1.0068301054912239,-0.6263786170647437,2.3050439220561927,-1.05,-0.58,2.2,0.0633609967782784,0.1050439220561925
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,6,494.139,-2.1103781980234646,0.48746901171100143,1.42924504716311,-2.12,0.55,1.35,0.06326692318798618,0.07924504716310987
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,7,499.83900000000006,-1.7046735792152616,1.2155390389831016,0.29222209777005737,-1.65,1.25,0.2,0.064627843058667,0.09222209777005737
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,8,507.83900000000006,-0.3154141630900613,1.5503285525202004,-0.06441476714876963,-0.25,1.55,-0.15,0.06541498818720118,0.08558523285123036
hw4_a_odom_feedback_gate_5p0_20260623_090954,a,5.0,9,515.539,0.09327165039901239,0.21861255070969263,-1.4851313865494002,0.1,0.15,-1.57,0.0689416623185375,0.08486861345059982
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,0,442.139,0.5392970461099155,0.9110884714207634,1.2565547171317988,0.55,0.95,1.3,0.04035666336983296,0.04344528286820126
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,1,448.33900000000006,1.531791064368391,0.5736774618606959,-0.6239380945851439,1.55,0.55,-0.6499999999999999,0.02986950848274524,0.02606190541485598
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,2,456.139,2.54495263872914,-0.30919606095740754,-1.476997261268731,2.55,-0.35,-1.57,0.041114927911771584,0.09300273873126907
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,3,463.83900000000006,2.2858700363228612,-1.5315721642885245,-2.6681451621512737,2.25,-1.55,-2.75,0.040326723581423245,0.08185483784872627
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,4,473.639,0.39527588784388246,-1.6287186862622742,-3.078386934649796,0.35,-1.62,3.1,0.0461077163844816,0.10479837252979099
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,5,482.73900000000003,-1.030070286971452,-0.6076100312170155,2.267249387295061,-1.05,-0.58,2.2,0.03405153866134175,0.0672493872950608
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,6,491.73900000000003,-2.1274691412369595,0.5139071326621889,1.3845216907603253,-2.12,0.55,1.35,0.036857606317861745,0.034521690760325185
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,7,497.639,-1.6695832196323812,1.228902236850515,0.28944692391492466,-1.65,1.25,0.2,0.02878572738497075,0.08944692391492465
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,8,505.639,-0.26783665548838353,1.5655609826274368,-0.06459753038726843,-0.25,1.55,-0.15,0.023670455410546527,0.08540246961273157
hw4_b_ekf_corrected_gate_5p0_20260623_091126,b,5.0,9,513.239,0.10229933151204748,0.20437755501373592,-1.4682790766156517,0.1,0.15,-1.57,0.05442614642498742,0.10172092338434835
hw4_c_ekf_prediction_only_gate_5p0_20260623_091256,c,5.0,0,445.03900000000004,0.5263769900589294,0.8880951323037511,1.207056802232211,0.55,0.95,1.3,0.06625903140829931,0.09294319776778903
hw4_c_ekf_prediction_only_gate_5p0_20260623_091256,c,5.0,1,451.139,1.482994246765738,0.5668294379701335,-0.5749050509042442,1.55,0.55,-0.6499999999999999,0.06908690866496627,0.07509494909575576
hw4_c_ekf_prediction_only_gate_5p0_20260623_091256,c,5.0,2,459.23900000000003,2.4978781969975867,-0.3346970589845568,-1.5083428098820038,2.55,-0.35,-1.57,0.05432184046904607,0.06165719011799631
