run_id,validation_gate,t,association_count,update_applied
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,447.83900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,448.03900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,448.23900000000003,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,448.439,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,448.639,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,448.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,449.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,449.23900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,449.439,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,449.639,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,449.83900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,450.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,450.23900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,450.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,450.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,450.83900000000006,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,451.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,451.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,451.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,451.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,451.83900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,452.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,452.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,452.439,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,452.639,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,452.83900000000006,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,453.03900000000004,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,453.23900000000003,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,453.439,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,453.639,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,453.83900000000006,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,454.03900000000004,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,454.23900000000003,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,454.439,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,454.639,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,454.83900000000006,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,455.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,455.23900000000003,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,455.439,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,455.639,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,455.83900000000006,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,456.03900000000004,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,456.23900000000003,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,456.439,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,456.639,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,456.83900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,457.03900000000004,4.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,457.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,457.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,457.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,457.83900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,458.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,458.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,458.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,458.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,458.83900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,459.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,459.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,459.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,459.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,459.83900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,460.03900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,460.23900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,460.439,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,460.639,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,460.83900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,461.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,461.23900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,461.439,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,461.73900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,461.83900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,462.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,462.23900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,462.439,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,462.639,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,462.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,463.03900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,463.23900000000003,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,463.439,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,463.639,5.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,463.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,464.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,464.23900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,464.439,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,464.639,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,464.83900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,465.03900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,465.23900000000003,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,465.439,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,465.639,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,465.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,466.03900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,466.23900000000003,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,466.439,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,466.639,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,466.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,467.03900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,467.23900000000003,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,467.439,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,467.639,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,467.83900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,468.03900000000004,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,468.23900000000003,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,468.439,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,468.639,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,468.83900000000006,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,469.03900000000004,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,469.23900000000003,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,469.439,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,469.639,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,469.83900000000006,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,470.03900000000004,10.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,470.23900000000003,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,470.439,10.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,470.639,8.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,470.83900000000006,10.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,471.03900000000004,10.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,471.23900000000003,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,471.439,9.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,471.639,10.0,1.0
hw4_b_ekf_corrected_gate_2p0_20260623_013423,2.0,471.83900000000006,9.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,432.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,432.73900000000003,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,432.939,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.339,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.73900000000003,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.939,12.0,1.0
