run_id,validation_gate,t,observation_count,association_count,mean_mahalanobis,max_mahalanobis,mean_abs_alpha,mean_abs_radius
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.587,13,12,0.22598324347642254,1.0438472650752981,0.005617429693053671,0.005964346835936292
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.788,13,12,0.34078264052567997,1.4023633639527082,0.007521458493658927,0.007816214066226698
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,433.987,14,12,0.3365346790217926,3.1100273770553937,0.0032033153373816643,0.006485332611822603
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.187,13,12,0.5183848055819519,4.211036046138549,0.007795455648827683,0.008408576763449296
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.388,13,13,0.6151914471286338,6.245798152822133,0.006476697822399354,0.008933313139569687
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.587,13,13,0.2511862695609018,1.8287919607015093,0.0053288994147532975,0.006805244292751396
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.788,14,12,0.07442856724495915,0.47657386391931117,0.0046892389550552156,0.0035864105488216855
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.987,13,13,0.7592958164653213,6.0944392973581225,0.00658855799213259,0.009926498393302516
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.187,13,12,0.1094456828961049,0.5727494803642831,0.003075647137172505,0.0046256606702282654
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.388,13,12,0.1119974752334406,0.5594980340515749,0.003174261604398763,0.004709461469129687
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.588,13,12,0.21160700686753264,1.0460925041493425,0.004141989276818405,0.006664702601634487
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.787,13,13,0.8891291764159613,5.067570139573485,0.008215517200283618,0.010778395558288164
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.987,13,12,0.1519302236417881,0.6558430669022723,0.004586711483261273,0.005967836395912159
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.188,15,12,0.2937738292790347,1.333401616315753,0.006543303871790266,0.007485663616936607
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.387,13,12,0.6122838848859725,4.611912515496856,0.010283492946532894,0.009159155407531224
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.587,14,12,0.3449740555412382,2.9313455558389108,0.00933087094599107,0.007313677041750899
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.788,15,12,0.24715978755471588,1.9497752547482337,0.00449219024784681,0.007103074313210435
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.987,14,12,0.5756600863669749,1.8556577809311041,0.007809591338052019,0.01169156820243313
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.187,15,12,0.2547393824057709,1.844811532471451,0.005830276154311038,0.007899669736902565
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.388,15,13,0.5740918171082063,3.4340161258134274,0.005921114778336127,0.010199071925663213
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.587,15,12,0.24852139863039677,1.9005888661130084,0.005504872507502854,0.006951984526714435
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.787,18,12,0.4679699939547448,2.913697150984938,0.006344630095827045,0.010439937830082282
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.987,16,12,0.2501378036714099,1.1469575423731955,0.006598212422488606,0.007924807012438159
